plu,name,price_per_kg
00009,Arsenal (3),40000
00008,Arsenal (4),40000
00005,Chaqmok (4),15000
00545,MIx 30mm kg,17500
00556,Mexmash shurup 1.6mm KG,32000
00564,Mexmash shurup 102mm KG,30000
00565,Mexmash shurup 127mm KG,30000
00557,Mexmash shurup 2.5mm KG,30000
00558,Mexmash shurup 30mm KG,30000
00559,Mexmash shurup 40mm KG,30000
00560,Mexmash shurup 50mm KG,30000
00562,Mexmash shurup 70mm KG,30000
00563,Mexmash shurup 89mm KG,30000
00553,Mix 120mm kg,13000
00554,Mix 150mm kg,13000
00544,Mix 2.5mm kg,17500
00546,Mix 40mm kg,17500
00547,Mix 50mm kg,14000
00548,Mix 60mm kg,14000
00549,Mix 70mm kg,13000
00550,Mix 80mm kg,13000
00551,Mix 90mm kg,13000
00015,UONI MONALIT elektrod (3),40000
00463,olma,1000000